AcresTotal,Age,AgentIDX,AgentStatus,AnnInsurance,AnnMgmtExpenses,AnnualExpenses,AnnualTaxes,AnnualUtilities,ApxLandSqft,ApxLotSize,ApxNetLeaseableSqft,AssetSales,AssociationFee,AVMYN,BathsHalf,BathsTotal,Bedrooms,CapRatePercent,City,CompassSuffix,ConstAndFoundation,County,CrossStreetName,CurrentBldgUse,DateChange,Directions,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,EnergyFeatures,ExteriorFeatures,FloodPlainYNU,Floor,GrossIncome,HeatAndCool,HighSchool,HOACOAYN,HomesteadYN,InteriorFeatures,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingOfficeID,ListingStatus,ListingType,ListPrice,LotDescription,LotDimensions,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,NetIncome,NumOfLoadingDocks,OccupancyDesc,OccupantName,OfficeIDX,OfficeStatus,OtherExpenses,OwnerAgentYN,ParcelNumber,Parking,ParkingTotal,PhotoCount,PhotoModificationTimestamp,PoolPresent,Possession,PostalCode,PropertySubType,PropertyType,PublicRemarks,Rails,RearExposureCode,RoadType,Roof,SewerAndWater,ShortSaleYN,Showing,SpecialInfo,SqFtTotal,StateOrProvince,Stories,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxID,TaxRange,TaxSectionCode,TaxTownship,TaxYear,TermsAvailable,TotalUnits,UnitNumber,VarDualRateCommYN,VirtualTourURL,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterFrontage,WaterFrontPresent,WaterType,YearBuilt,Zoning
.93,,Yes,"- Active",,,,,,40000,"200  x 200",0,"Real Estate",0,No,,,,0,Hernando,,"Steel,Foundation - Slab",,"Overdrive Circle","Light Industrial,Warehouse,Vacant",2013-02-04,"41N to left onto Overdrive Circle, right onto Parking Ter.",,Yes,,,"Fence - Chain,Landscape - Partial,Lawn Sprinklers",No,Concrete,,"Cool - None,Heat - None",,No,No,"220 Voltage,Ceiling - Vaulted,Inside Laundry,Utility Living Area",,"CITRUS INDUSTRIES INDUSTRIAL PARK PB 13 PG 145 LOT 38 TITLE IN OR BK 1034 PG 1241",No,2755086095,27550860,2013-02-01,95,,08,2755,086,700776,0,Active,"Excl. Right to Sell",159000,"Corner Lot,Flat","200  x 200",,2013-02-06T01:13:54,0,,,Vacant,,Yes,"- Active",,No,3208599,"Drive - Blacktop,Drive - Paved,Private Lot,Unassigned",,12,2013-02-06T01:13:54,,"At Close",34442,,Commercial,"Here's a steel industrial building, 40' x 60' with two 20' wide by 13.8' high doors.  It sits on an acre that is fenced on three sides, is landscaped and has irrigation.  What's unusual about the building is that this is one of two lots in the complex that are zoned for residential use as well. There's a 20'x 18' corner set up for living with a sleeping loft above and it was actually homesteaded for three previous years. An adjoining acre (MLS #700782), also fenced on 3 sides, is available.",,W,"County,Paved",Metal,"Sewer - Septic Private,Water - Private Well",No,"Call List Agent,Lockbox Call,Vacant","Owner Owns Property,Seller Prop Disclosure,Title Insurance",2400,FL,2,N,"Parking Ter",6128,"Citrus Industrial Park",1966,,,,,2012,"Cash,Conventional",1,,No,,,,,,No,,2005,
.68,,Yes,"- Active",,,,,,30700,,0,"Real Estate",0,No,,,,0,Inverness,,"Concrete Blk/Stucco",,,"Cabinet/Furniture,Retail",2013-05-21,"41N from Inverness, on left.",,Yes,,"Solar Tinted Windows,Zoned","Fence - Chain",No,"Carpet,Concrete,Vinyl",,"Cool - Central Air,Heat - Central Electirc",,No,No,"Ceiling - Vaulted",,"Avondale Lot 2",No,2755086095,27550860,2013-02-12,95,,08,2755,086,701038,0,Active,"Excl. Right to Sell",275000,Flat,,,2013-05-21T15:03:39,0,,,Vacant,,Yes,"- Active",,No,2074001,"Drive - Blacktop,Parking Spaces,Private Lot",11,9,2013-05-21T15:03:39,,"At Close",34453,,Commercial,"Prime location for this 7,000 SF building zoned GNC.  For most of its life it has been a popular furniture store and since 2008 it's housed a flooring company.  On .68 fenced acre, and abutting our 46-mile Rails-To-Trails.  New roof  in 2006. It is divided into showroom space, warehouse (full bath)and office (half bath) with two front entrances, one into the office and the other into the showroom, lending itself to possible rental space. Great visibility, high traffic area. Sold ""As Is"".",,W,"Paved,State","Asphalt/Fiberglass Shgl,Metal","Sewer - Septic Private,Water - Private Well",No,"Call List Agent,Lockbox Call,Vacant","Owner Owns Property,Seller Prop Disclosure,Sold As Is,Sumter Electric",7000,FL,1,N,"Florida Ave",168,,3328,,,,,2012,"Cash,Conventional",,,No,,,,,,No,,1984,
8.3,,Yes,"- Active",,,,,,360000,"355' x 1000'",1926,"Real Estate",0,,,,,0,Homosassa,,"Concrete Blk/Stucco",,,Vacant,2012-06-18,"From Homosassa, north on US 19 to parcel on west of 19 opposite Village Cadillac",,Yes,,,"Entry - Ground Level,Fence - None,Trees,Window - Dbl. Hung",Yes,"Carpet,Ceramic Tile",,"Cool - Central Electric,Heat - Central Electirc",,No,No,"Counters - Laminate",,"Complex: see alt key. Title in OR BK 1615 PG 1004.",No,27553240268,27553240,2009-03-04,268,,19,2755,324,332935,0,Active,"Excl. Right to Sell",350000,"Acreage,Rectangle,Wooded","355' x 1000'",,2012-11-02T18:00:04,0,,,Vacant,vacant,Yes,"- Active",,No,3170375,"Drive - Concrete,Parking Spaces",,7,2010-03-26T15:52:05,,"At Close",34448,,Commercial,"Spacious professional office building on US 19 with 350' road frontage. 8+ acres in all with the front 4 zoned GNC and the rear residential. The office building is freshly painted inside, presented in good order and lends itself to many possible uses, perhaps restaurant or medical office. Ideally situated across from the Cadillac/Toyota dealership between Homosassa and Crystal River.",,W,"Federal,Paved","Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"Call List Office,Go There,Lockbox Call,Lockbox,Vacant,Other See Remarks","Brighthouse Cable,Owner Owns Property,Sold As Is,Title Insurance",1926,FL,1,S,"Suncoast Blvd",2450,,4664,,17,15,19,2011,"Cash,Conventional",,,Yes,,,,,,No,,1970,
0,,Yes,"- Active",,,,,,0,"condo unit",1079,"Real Estate",0,,,,,0,"Crystal River",,"Concrete Blk/Stucco,Foundation - Slab",,,"Office,Office Building,Professional",,"From Hwy 19 to Hwy 44 to just past Rock Crusher to left on Corporate Oaks to Building on Left.",No,Yes,,,"Entry - 1st Upper,Landscape - Full,Lawn Sprinklers,Trees",No,Carpet,,"Cool - Central Electric,Heat - Heat Pump",,Yes,No,"Ceiling - Standard",,"Meadowcrest Office Condo Unit 1 Building C Unit 3C",No,27550863607,27550863,2012-02-28,607,,23,2755,086,354086,3,Active,"Excl. Right to Sell",115000,"Zero Lot Line","condo unit",,2013-01-23T06:30:05,230,,0,Vacant,,Yes,"- Active",,No,2426471,"Drive - Paved,Drive - Private,Drive - Shared,Parking Spaces,Paved Area,Private Lot",,13,2013-01-23T06:30:05,,"At Close,Negotiable",34429,,Commercial,"LOOK HERE!! Why pay rent when you can own! Commercial unit that is ready to go. Use it for your business or rent out. No outside maintence all done by association, including roof, painting, garbage lanscaping. Has Hwy 44 road frontage and great location for any professional office. Owner will consider lease  or lease option. The adjoining unit is also for sale in case you need more space.",No,S,Paved,"Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Call List Agent,Call List Office,Lockbox Call","Brighthouse Cable,Title Insurance,Withlacooche Electric",1104,FL,1,W,"Corporate Oaks",6218,Meadowcrest,1507,,17,25,18,2011,"Cash,Conventional,Exchange Considered,Lease Option/Purchase,Owner Finance",1,,No,,,No,No,,No,,1984,
0,,Yes,"- Active",,,,,,0,"condo unit",1079,"Real Estate",0,,,,,0,"Crystal River",,"Concrete Blk/Stucco",,,"Office Building,Professional",2009-03-03,"From Hwy 19 to Hwy 44 To just past Rock Crusher to Left on Corporate Oaks to building on Left.",No,Yes,,,"Entry - 1st Upper,Handicap Modified,Landscape - Partial,Lawn Sprinklers",No,Carpet,,"Cool - Central Electric,Heat - Heat Pump",,Yes,No,"Ceiling - Standard,Counters - Laminate",,"Meadowcrest Office Condo 1 Building C Unit 4C",No,27550863607,27550863,2012-02-28,607,,23,2755,086,354085,3,Active,"Excl. Right to Sell",115000,"Zero Lot Line","condo unit",,2013-01-22T15:37:44,230,,0,Vacant,,Yes,"- Active",,No,2426497,"Drive - Paved,Drive - Private,Drive - Shared,Parking Spaces,Paved Area,Private Lot",,15,2012-03-09T19:06:09,,"At Close",34429,,Commercial,"FOR SALE OR LEASE!! Commercial unit that is ready to move into. Use it for your own business or lease for income. No outside maintence-- all done by association, even roof. Has Hwy 44 frontage. it is a great location for any professional office. Owner will consider lease or lease with option to purchase. If you need more space the adjoining unit is also available.",No,S,Paved,"Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Call List Agent,Call List Office,Lockbox Call,Vacant","Title Insurance,Withlacooche Electric",1104,FL,1,W,"Corporate Oaks",6216,Meadowcrest,1507,,17,25,18,2011,"Cash,Conventional,Exchange Considered,Lease Option/Purchase,Owner Finance",1,,No,,,No,No,,No,,1984,
.89,,Yes,"- Active",,,,,,36756,irregular,2771,"Real Estate",,No,,,,0,"Crystal River",,"Concrete Blk/Stucco,Foundation - Slab",,"Ozello Trail",Restaurant,2013-06-11,"Hwy 19 to Ozello Trail, restaurant about 6 miles down on left.",,Yes,,,"Entry - Ground Level,Landscape - Partial,Outdoor Lighting",Yes,"Ceramic Tile",,"Cool - Central Air,Cool - Wall/Window,Heat - Central Electirc",,No,No,"Counters - Laminate,Decorator Lights,Handicap Modified",,"& OR BK 1631 PG 518 & OR BK 1957 PG 169 WATERMANS UNREC SUB LOTS 100, 101 AND 104 DESCR AS FOL: LOT 100: BEG AT A PT IN THE W LN OF SEC 14-19-16 FOUND",Yes,27550863607,27550863,2013-02-26,607,,18,2755,086,701316,3,Active,"Excl. Right to Sell",260000,"2+ Lots,Corner Lot,Water Access,Waterfront",irregular,,2013-06-11T15:45:58,,,,Vacant,,Yes,"- Active",,No,3330210,"Drive - Gravel",,8,2013-02-26T20:10:33,,"At Close",34429,,Commercial,"Opportunity to purchase a quaint waterfront restaurant with 4 COP license included in price. Great atmosphere includes boat dock and ramp with plenty of parking. Direct access to Gulf of Mexico, St. Martins River and Salt River.",,,County,Metal,"Sewer - Septic Private,Water - Public",No,"Appointment Only,Call List Agent,Lockbox Call","Flood Insurance,Flood Plain",2771,FL,1,W,"Ozello Trail",13982,Watermans,6183,,,,,2011,"Cash,Conventional",1,,Yes,,,,,300,Yes,"Gulf Access,River Canal,Water Access",1965,
1,,Yes,"- Active",,,,,,36504,,4200,"Real Estate",,No,,,,0,"Citrus Springs",,"Concrete Block",,,"Professional,Other See Remarks",,"North on 491, left on deltona blvd, homes on left",,Yes,,,"Door - French",No,Concrete,,"Cool - None,Heat - None",,No,,"200+ Amps",,"CITRUS SPGS UNIT 1 PB 5 PG 89 LOT 1 BLK 43",No,275527901209,27552790,2012-08-06,1209,,13,2755,279,357061,0,Active,"Excl. Right to Sell",119000,"Corner Lot",,,2012-08-28T14:47:47,,,,Vacant,,Yes,"- Active",,No,1216508,"Drive - Blacktop",,2,2012-08-28T14:47:47,,"30 Days",34434,,Commercial,"Two  85% completed model home. Cannot be used for homes but can be used for  office or professional practice. Why biuld when you can buy 1/2 price.",,,County,"Asphalt/Fiberglass Shgl","Sewer - Other,Water - Public",No,"Call List Agent,Go There","Other See Remarks",4200,FL,1,N,"Deltona Blvd.",9456,,524,,18,14,17,2012,"Cash,Conventional",,,Yes,,,,,,No,,2008,
2.4,,Yes,"- Active",,,,,,104544,,480,"Real Estate",,No,,,,1,Homosassa,,"Other See Remarks",,,"Other See Remarks",,"Between Crystal River and Homosassa at the corner of Veterans and US 19. Across from Harley Davidson shop",,Yes,,,"Other See Remarks",Unverified,Vinyl,,"Cool - Central Electric,Heat - Central Electirc",,No,,"110 Voltage",,,No,275527901209,27552790,2013-04-30,1209,,19,2755,279,702735,0,Active,"Excl. Right to Sell",400000,Acreage,,,2013-05-06T20:16:07,,,,Vacant,,Yes,"- Active",,No,2328231,"Private Lot",,3,2013-05-06T20:16:07,,"30 Days",34448,,Commercial,"GREAT OUTDOOR SALES PROPERTY.FOR SALE OR LEASE.If you want exposure  to the public this is the place to be. Right across the street from the Harley Davidson ,Crystal Chevrolet and all the rest of the car lots. Landscaped 2.4 acres that is partialy paved.",,,State,"Other See Remarks","Sewer - Septic Private",No,"Call List Agent,Key in Office","Other See Remarks",480,FL,1,S,"suncoast blvd",1710,,5637.11,,,,,2011,"Cash,Lease Option/Purchase,Owner Finance",,,No,,,,,,No,,1989,
.59,,Yes,"- Active",,,,,,26726,104x250,4644,"Real Estate",,No,,,,0,"Citrus Springs",,"Concrete Blk/Stucco,Stone",,,"Liquor Store,Office,Office Building,Professional,Strip Mall",2012-11-30,"From 41 North to left on North Citrus Springs Blvd. The center is on the left look for the sign.",,Yes,,,"Fence - None",No,Concrete,,"Cool - Central Air",,No,,"100 Amps,200+ Amps,Ceiling - 12ft,Ceiling - Standard",,"Citrus Springs Unit 1 Plat Book 5 Page 89 Lot 12 Block 41",Yes,275504701877,27550470,2011-11-20,1877,,14,2755,047,352498,0,Active,"Excl. Right to Sell",262000,Flat,104x250,,2013-04-25T18:36:43,,,,Vacant,,Yes,"- Active",,No,1216222,"Drive - Paved,Parking Spaces,Storage",22,8,2012-11-05T12:57:35,,"At Close",34434,,Commercial,"BANK OWNED! Four unit community professional centers built in 2010. Building offers 4,644 Square feet of commercial space divided in too 4 units. Many uses include professional and medical office and street retail. Owner is motivated and reviewing offers.",,,Paved,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"Appointment Only,Call List Agent","Sold As Is",4644,FL,1,N,"Citrus Springs Blvd",9755,"Citrus Springs",332.54,,,,,2010,"Cash,Conventional",4,,No,,No,,,,No,,2010,
1.16,,Yes,"- Active",,,,,,50529,"1.16 Acres",6801,"Real Estate",,No,,,,0,Chiefland,,"Frame,Foundation - Slab",,"NE 2nd Avenue","A.C.L.F.,Church,Club House,Day Care,Hair/Nail Salon,Office Building",2013-03-26,"From Hwy 19 take a right on NE 2nd pass the first stop sign street dead ends to subject on NE 4th Street.",,Yes,,,"Fence - Partial,Patio,Trees",No,"Carpet,Ceramic Tile",,"Cool - Central Air,Cool - Wall/Window",,No,No,"200+ Amps",,"SEC: 31,  TWP: 11,  RNG: 15,  31-11-15 SUWANNEE RIVER HTS BLK 1 LOTS 31 THRU 39 OR BOOK 1216 PAGE 465",No,275504701877,27550470,2012-07-20,1877,,24,2755,047,356721,0,Active,"Excl. Right to Sell",193000,Flat,"1.16 Acres",,2013-05-08T13:09:36,,,,Vacant,,Yes,"- Active",,No,0742200,"Unassigned,Unpaved Area",25,23,2013-03-26T13:58:42,,"At Close",32621,,Commercial,"The subject property is located the city limits of Chiefland, Florida one block from Hwy 19. Expansion of Wal-Mart Super Center and area economy have paved the way for a variety of national fast food chains, hotels and financial institutions. There are three incarceration facilities in the area supporting 800 jobs and Progress Energy Florida is moving forward with its plan to build two nuclear power plants in southern Levy County costing over $ 5 billon. Building offers three great rooms, full kitchen and 6 bath rooms and three AC for each segment of the building. The surplus lot is a bonus for more parking or future expansion.",,,County,"Asphalt/Fiberglass Shgl,Metal","Sewer - Septic Private,Water - Public",No,"Call Occupant","Sold As Is",6801,FL,1,NE,"4th Street",211,,7239.66,,,,,2011,Cash,2,,No,,,,,,No,,1998,
