AcresTotal,Age,AgentIDX,AgentStatus,AnnualExpenses,AnnualGrossIncome,ApxLotSize,AssociationFee,AVMYN,BathsHalf,BathsTotal,Bedrooms,City,CommunityAmenities,CompassSuffix,CondoFeeIncludes,ConstAndFoundation,County,CrossStreetName,DateChange,Directions,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,EnergyFeatures,EquipAndAppliances,ExteriorFeatures,FloodPlainYNU,Floor,GarageAndParking,HeatAndCool,HighSchool,HOACOAYN,HomesteadYN,InteriorFeatures,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingOfficeID,ListingStatus,ListingType,ListPrice,LotDescription,LotDimensions,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,NetIncome,OccupancyDesc,OccupantName,OfficeIDX,OfficeStatus,OperatingExpenses,OwnerAgentYN,ParcelNumber,PhotoCount,PhotoModificationTimestamp,PoolPresent,PoolType,Possession,PostalCode,PropertySubType,PropertyType,PublicRemarks,RearExposureCode,Restrictions,RoadType,Roof,SewerAndWater,ShortSaleYN,Showing,SpecialInfo,SqFtTotal,StateOrProvince,StreetDirPrefix,StreetName,StreetNumber,Style,StyleOfHome,Subdivision,TaxAmount,TaxID,TaxRange,TaxSectionCode,TaxTownship,TaxYear,TermsAvailable,TotalUnits,Unit10Baths,Unit10Bedrooms,Unit10LeaseExpires,Unit10Parking,Unit10Rent,Unit10Sqft,Unit1Baths,Unit1Bedrooms,Unit1LeaseExpires,Unit1MonthlyRent,Unit1Parking,Unit1SqFt,Unit2Baths,Unit2Bedrooms,Unit2LeaseExpires,Unit2Parking,Unit2Rent,Unit2SqFt,Unit3Baths,Unit3Bedrooms,Unit3LeaseExpires,Unit3Parking,Unit3Rent,Unit3SqFt,Unit4Baths,Unit4Bedrooms,Unit4LeaseExpires,Unit4Parking,Unit4Rent,Unit4SqFt,Unit5Baths,Unit5Bedrooms,Unit5LeaseExpires,Unit5Parking,Unit5Rent,Unit5SqFt,Unit6Baths,Unit6Bedrooms,Unit6LeaseExpires,Unit6Parking,Unit6Rent,Unit6SqFt,Unit7Baths,Unit7Bedrooms,Unit7LeaseExpires,Unit7Parking,Unit7Rent,Unit7SqFt,Unit8Baths,Unit8Bedrooms,Unit8LeaseExpires,Unit8Parking,Unit8Rent,Unit8SqFt,Unit9Baths,Unit9Bedrooms,Unit9LeaseExpires,Unit9Parking,Unit9Rent,Unit9Sqft,UnitNum1,UnitNum10,UnitNum2,UnitNum3,UnitNum4,UnitNum5,UnitNum6,UnitNum7,UnitNum8,UnitNum9,UnitNumber,VarDualRateCommYN,VirtualTourURL,VOWAVMYN,VOWCommentsYN,WaterFrontage,WaterFrontPresent,WaterType,YearBuilt,Zoning
.18,,Yes,"- Active",,,80x100,0,No,,,,Inverness,"Other See Remarks",,,"Concrete Blk/Stucco,Foundation - Slab",,"Citrus Ave",2011-05-02,"Main Street to north on Citrus Ave to the corner of Dampier and Citrus Ave.",No,Yes,,,"Cable,Ceiling Fan(s),Dryer,Oven - Range,Range Hood,Refrigerator,Smoke Detector(s),Washer","Sep. Entrance Apt.",Unverified,Carpet,"Drive - Concrete,Drive - Paved","Cool - Central Air,Heat - Central Electirc",,No,,"Ceiling - Standard",,"CP Savary Sub lot 12",No,27551430146,27551430,2011-04-19,146,,07,2755,143,348670,0,Active,"Excl. Right to Sell",134900,"Corner Lot",80x100,Inverness,2013-04-08T20:58:02,0,,Tenant,,Yes,"- Active",,No,1754101,14,2011-05-02T20:06:57,No,,"Subject to Lease",34450,,Multi-Residential,"Nice price reduction on the downtown Duplex. Great location in the heart of Inverness. In 2005 new central ac and heat units. Tip Top shape. Location, condition, this duplex has it all. Owner may finance.",N,"Other See Remarks",County,"Asphalt/Fiberglass Shgl","Sewer - Other,Water - Public",No,"Appointment Only",,2090,FL,W,Dampier,414,Duplex,,,2100.21,,20,17,19,2006,"Cash,Conventional,Owner Finance",2,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"414 A",,"414 B",,,,,,,,,No,"Excellent duplex in the heart of downtown Inverness.",No,No,,No,,1952,
.06,,Yes,"- Active",,,"140 X 90",,No,,,,"Floral City","Golf Course,Laundry - Nearby,Near Shopping",,,"Concrete Blk/Stucco",,,2011-05-24,"HWY 41 SOUTH TO TRAFFIC LIGHT AT HWY 48, TURN LT, TO GREAT OAKS, TRN RT, TO MAGNOLIA, TRN LT, TO HEATHER , TURN RIGHT ON LEFT SIDE.",Yes,Yes,,,"Cable,Ceiling Fan(s),Oven - Range,Range Hood,Refrigerator,Smoke Detector(s)","Entry - Ground Level,Porch - Screened,Slab,Window - Sgl. Hung",Unverified,"Carpet,Vinyl Tile","Drive - Unpaved,Parking Spaces","Cool - Central Air,Heat - Central Electirc",,No,No,"Blinds,Ceiling - Standard,Counters - Laminate,Living Room",,"TOWN OF FLORAL CITY LOT 3 S 90 FT OF N 270 FT OF E 140 FT OF W 240 FT OF BLK 23 SUBJ TO RD R/W OVER W 30 FT DESC IN OR BK 1965 PG 435",No,27550470394,27550470,2009-06-06,394,,06,2755,047,334933,0,Active,"Excl. Right to Sell",73000,"Irregular,Non-Waterfront,Water Access","140 X 90",,2013-01-22T20:12:38,,,Tenant,,Yes,"- Active",,No,1855942,7,2012-07-16T21:21:28,No,,"At Close",34434,,Multi-Residential,"BOTH SIDES HAVE BEEN COMPLETLY REDONE, PAINTING INSIDE AND OUT. NEW FLOORING.  READY TO GO. 2BR/1 BA EACH SIDE. Both sides rented.Think about this. You just to make a doorway in the living room on both sides wala, you have a 4 bedroom  2 bath home. OR, Live in one side, rent the other to make the mortgage payment.",,"No Restrictions",Unpaved,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"24 Hour Notice,Appointment Only,Call List Agent",,1742,FL,S,"HEATHER PT",7919,Duplex,,"Town of Floral City",1002,,20,15,20,2008,"Cash,Conventional",2,,,,,,,1,2,,500,Yes,754,1,2,,Yes,500,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,B,,,,,,,,,No,,No,No,,No,,1973,
2.5,,Yes,"- Active",,,2.5,,No,,,,Inglis,"BBQ Area,Bike Path,Boat Dock,Boat Ramp,Near Shopping",,,"Aluminum Siding,Frame,Manuf/Modular,Other See Remarks",,,,"US 19 N..R on Hwy 40 to corner of Shearer St.",Yes,Yes,,,"Ceiling Fan(s),Cooktop - Elec,Oven - Range,Refrigerator","Barbecue,Courtyard,Entry - Ground Level,Outdoor Lighting,Window - Sgl. Hung,Workshop,Other See Remarks",Unverified,"Carpet,Vinyl","Boat Parking,Drive - Private,RV Parking","Cool - Central Air,Heat - Central Electirc",,No,No,"Blinds,Bonus Room,Book Case(s),Breakfast Bar,Ceiling - Vaulted,Counters - Laminate,Den/Office",,"CASONS INGLIS ACRES UNIT6 BLK B LOTS 30 & 31",No,27550862765,27550862,2010-07-29,765,,25,2755,086,343543,2,Active,"Excl. Right to Sell",169000,"2+ Lots,Acreage,Corner Lot,Mixed Topography,Other See Remarks",2.5,,2011-12-12T20:14:39,,,Owner,,Yes,"- Active",,No,12939,10,2011-04-14T21:27:54,No,,Negotiable,34446,,Multi-Residential,"Unique not even begin to describe this! Two solid manufactured homes, fully furnished and ready to rent, or winter in. MONSTER warehouse for commercial use.All situated on beautiful acreage. This is such an unusual pkg, owner financing is available. Currently being utilized for business...but let your imagination go wild!Perfect for so many applications.Please call for your private viewing today!",,"No Restrictions","Paved,State","Asphalt/Fiberglass Shgl,Metal","Sewer - Septic Private,Water - Public",No,"Appointment Only,Call List Agent,Lockbox Call,Owner Occupied","Horses Allowed,Progress Energy,Seller Prop Disclosure,Title Insurance,Other See Remarks",4277,FL,,Shearer,18,"Mobile Homes",,"Cason Inglis Acres",2085,,16,02,17,2009,"Cash,Owner Finance",2,,,,,,,2,3,2001-01-01,600,Yes,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,No,,Yes,No,,No,,1985,
.3,,Yes,"- Active",,,80x168,,No,,,,Lecanto,"Near Shopping",,,"Concrete Blk/Stucco",,"Safari Ln.",2012-10-15,"Hwy 44 west to Right on Van Northwick Rd to Right on Safari Ln to Right on Tiger Pt.",No,Yes,,,"Cable,Ceiling Fan(s),Dishwasher,Oven - Range,Refrigerator","Entry - Ground Level",Unverified,Carpet,"Drive - Concrete","Cool - Central Electric,Heat - Central Electirc",,No,No,"Blinds,Ceiling - Standard,Inside Laundry,Living Room",,"FOREST HILLS UNREC SUB LOT 6 BLK 3: Lengthy See Alt. Key # 3193421",No,275555103492,27555510,2010-12-02,3492,,23,2755,551,346114,0,Active,"Excl. Right to Sell",145900,Flat,80x168,Lecanto,2013-01-09T16:51:25,,,Tenant,,Yes,"- Active",,No,3193421,5,2013-01-09T16:51:26,No,,"Subject to Lease",34461,,Multi-Residential,"Very nice Lecanto duplex. Both units are 2 bedroom, 2 bath and boast an approximate 1,100 square foot of living space per unit. Living room, convenient kitchen and each unit has laundry hook-ups.",,"No Restrictions",Paved,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"24 Hour Notice,Appointment Only,Call List Office,Lister Accompany,Lockbox Call","Brighthouse Cable,High Speed Internet,Sold As Is,Withlacooche Electric",2200,FL,,"Tiger Pt.",1193,Duplex,,,1690.6,,18,30,18,2010,"Cash,Conventional",2,,,,,,,2,2,2013-02-28,550,Yes,1100,2,2,2013-02-28,Yes,550,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,,1195,,,,,,,,,No,,No,No,,No,,2004,
.83,,Yes,"- Active",,,,0,,,,,Inverness,"Laundry - In Complex",,"Trash Removal",Brick,,,2013-02-20,"Hwy 44 to CR 581 to left on Orvista, complex is on the corner.",Yes,Yes,,"Ridge Vents","Oven - Range,Refrigerator","Entry - Ground Level,Entry - Multi Level,Outdoor Lighting,Window - Sgl. Hung",No,Carpet,"Parking Spaces","Cool - Central Air,Cool - Central Electric,Heat - Heat Pump",,No,No,"Ceiling - Standard,Counters - Laminate,Window Treatment(s)",,"INVERNESS HEIGHTS REVISED PB 4 PGS 58-59 LOTS 6, 7 & 8 BLK H",No,27552100283,27552100,2009-03-02,283,,07,2755,210,332843,0,Active,"Excl. Right to Sell",349900,"Corner Lot,Irregular,Sloped",,Inverness,2013-04-25T15:27:30,0,,Tenant,,Yes,"- Active",,No,1761743,4,2010-03-19T20:07:10,No,,"At Close",34452,,Multi-Residential,"Multi-Family 8 Unit Complex in the City Limits of Inverness has a good rental history and is a steady income producer. Units are Updated & Clean!!!!",,"Other See Remarks",County,"Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Appointment Only,Call List Agent","Brighthouse Cable,Progress Energy",6240,FL,,"Orvista Ave",300,"Apt. Building",,,5728,,20,18,19,2011,"Cash,Conventional",8,,,,,,,1,2,,525,,780,1,2,,,500,780,1,2,,,475,780,1,2,,,475,780,1,2,,,475,780,1,2,,,475,780,1,2,,,475,780,1,2,,,475,780,,,,,,,1,,2,3,4,5,6,7,8,,,No,,No,No,,No,,1987,
.18,,Yes,"- Active",,,Irregular,,No,,,,"Crystal River","Near Shopping",,,"Concrete Blk/Stucco",,"Kings Bay Drive",2013-04-08,"From Crystal River, south on US Hwy 19 to right on Kings Bay Drive, right on Valare Lane, duplex on left.",Yes,Yes,,,"Cable,Ceiling Fan(s),Cooktop - Elec,Dishwasher,Disposal,Dryer,Laundry Tub,Microwave,Oven - Range,Range Hood,Refrigerator,Washer,Water Heater","Door - Sliding Glass,Entry - Ground Level,Landscape - Partial,Porch - Screened,Window - Sgl. Hung",Yes,"Carpet,Ceramic Tile,Vinyl","Drive - Concrete","Cool - Central Air,Heat - Central Electirc",,No,No,"Blinds,Ceiling - Standard,Counters - Laminate,Counters - Tile,Eat-In Kitchen,Fireplace - None,Inside Laundry,Kitchen/Bath Updated,Living Room,Open Floor Plan,Pantry,Wood Cabinets",,"LOT 5 OF AN UNREC SUB (LENGTHY LEGAL)",No,275556601230,27555660,2010-03-05,1230,,16,2755,566,340239,0,Active,"Excl. Right to Sell",129900,Irregular,Irregular,"Crystal River",2013-04-08T13:37:34,,,Tenant,,Yes,"- Active",,Yes,2901519,18,2013-01-11T13:54:49,No,None,"At Close",34429,,Multi-Residential,"GREAT INVESTMENT OPPORTUNITY! Located in Crystal River city limits in Kings Bay area close to shopping, dining and water.Each unit of duplex has 2 beds, 1 bath, utility room, screened porch, storage area.  Unit A is furnished, recent interior renovation, updated kitchen & bath, tile floors.  Shows great! Seasonal Tenants. Rents from $1100 to $1800 per month. Unit B Unfurnished, has appliances.  Possible owner financing.  Building can be split and sold as seperate units.  Survey on file.",W,"Other See Remarks","County,Paved","Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Appointment Only,Call List Agent,Lister Accompany","Brighthouse Cable,Pets Allowed,Progress Energy,Survey",2470,FL,,"Valare Lane",220,Duplex,,,1826,,17,21,18,2012,"Cash,Conventional,Owner Finance",2,,,,,,,1,2,,1150,No,975,1,2,,No,635,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,B,,,,,,,,,No,http://www.visualtour.com/shownp.asp?sk=13&t=1433021,No,No,,No,,1980,
1.94,,Yes,"- Active",,,194X436,0,No,,,,Homosassa,"Golf Course,Near Shopping",,,"Manuf/Modular,Foundation - Piers",,LEWDINGER,2013-06-09,"FROM HOMOSASSA, SOUTH ON US HWY 19, (L) ON CARDINAL, PASS LEWDINGER, PASS BOULERICE ROOFING, NEXT DRIVE TO THE LEFT;",Yes,Yes,,,"Cable,Ceiling Fan(s),Cooktop - Elec,Dryer,Oven - Range,Refrigerator,Washer","Door - Sliding Glass,Landscape - Partial,Outdoor Lighting,Shed/Utility Bldg,Workshop",No,"Carpet,Vinyl","1 Car Detached Garage,1 Car Carport Attached,2 Car Carport Detached,Workshop","Cool - Central Air,Cool - Central Electric,Heat - Central Electirc",,No,No,"Blinds,Breakfast Bar,Ceiling - Cathedral,Ceiling - Standard,Counters - Laminate,Drapes,Eat-In Kitchen,Living Room,Window Treatment(s)",,"HOMOSASSA GARDENS, LTS 35 & 35.1, AK-1517435 & 2456949",No,27551780428,27551780,2010-05-05,428,,21,2755,178,341693,0,Active,"Excl. Right to Sell",750000,"2+ Lots,Acreage,Flat,Non-Waterfront,Rectangle,Room for Pool",194X436,"Crystal River",2013-06-09T15:47:55,0,,Tenant,,Yes,"- Active",,No,1517435,12,2012-07-16T15:35:14,No,None,"At Close,Subject to Lease",34446,,Multi-Residential,"(2) MOBILES ON (2)LOTS; #6911-1977, D/W, 2BDRM, 2 BATH, FRONT= RENTED @ $600, FANTASTIC KITCHEN & BREAKFAST BAR; 14X36 CARPORT, 11X16 SHED/LAUNDRY RM; LG SCREEN PCH; #6919-1985-REAR S/W VAC; CARPORT, SCR PCH; WKSHOP/GAR BETWEEN 2-M/H-USED BY OWNER; DBL CARPORT FOR REAR M/H; POTENIAL FOR RE-ZONING TO COMMERCIAL IS FAVORABLE IN THAT IT IS NEXT DOOR TO BOULERICE ROOFING WHICH IS ZONED INDUSTRIAL; POSSIBLE OWN FINANCING;NEW A/C IN REAR M/H& NEWER A/C IN FRONT M/H;DIRECTLY ACROSS THE STREET FROM SUPER WALMART; SEE MLS#349948 FOR MORE LAND",N,"No Restrictions","County,Paved","Asphalt/Fiberglass Shgl,Metal","Sewer - Septic Private,Water - Private Well",No,"Appointment Only,Call List Office,Lockbox Call,Pets","Brighthouse Cable,Sold As Is,Warranty - None,Withlacooche Electric",2104,FL,W,"CARDINAL LN",69116919,"Mobile Homes",,"Homosassa Gardens",549.42,,18,7,20,2012,"Cash,Conventional,Owner Finance",2,,,,,,,2,2,2009-04-01,600,Yes,1152,2,2,2008-11-19,Yes,525,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6911,,6919,,,,,,,,,No,,No,No,,No,,1985,
.25,,Yes,"- Active",,,100X110,,,,,,"Crystal River","Golf Course,Near Shopping",,,"Concrete Blk/Stucco",,Fanwood,2012-10-22,"RT 19 to Fort Island Trail (44 WEST) to left onto Green Leaf to right onto Fanwood to right onto Elmwood",Yes,Yes,,"Programmable Thermostat","Cooktop - Elec,Microwave,Oven - Built In,Refrigerator","Entry - Ground Level,Trees",Yes,"Carpet,Ceramic Tile","Drive - Blacktop,Parking Spaces","Cool - Central Electric,Heat - Heat Pump",,No,No,"Blinds,Breakfast Bar,Eat-In Kitchen,Inside Laundry,Living Room,Pantry,Walk-In Closet(s)",,"GREENLEAF FOREST UNREC SUB LOT 18 IN LOT 45 AKA FOREST VLG DESC AS FOLLOWS: COMM AT E QUARTER OF SEC 32-18-17 THN S 89DEG 59M 51S W ALG N LINE OF SE 1",No,275532702193,27553270,2010-08-09,2193,,17,2755,327,343731,0,Active,"Excl. Right to Sell",98500,"Greenbelt,Rectangle",100X110,,2013-03-27T13:12:01,,,Vacant,,Yes,"- Active",,No,2312751,12,2012-03-19T23:13:58,No,None,"At Close,Subject to Lease",34429,,Multi-Residential,"BEST DUPLEX IN GREENLEAF FORREST!  Totally renovated: New roof, New cabinets, New flooring & New carpet.  New paint inside & outside. Crystal River Duplex, Each unit has 2 Bedrooms and 2 Bathrooms and separate inside laundry room. Private back yard backs up to State Wildlife Preserve, Located near Plantation Golf Course, minutes to various bodies of water for swimming, boating fishing! Check it out!!  BOTH SIDES ARE RENTED",,"No Restrictions",Private,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"Call List Agent,Lockbox Call,Vacant",,1900,FL,N,"Elmwood Pt.",490492,Duplex,,"Green Leaf Forest",968,,17,32,18,2011,"Cash,Conventional,FHA,VA",2,,,,,,,2,2,,550,No,950,2,2,,No,550,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,,490,,,,,,,,,No,,Yes,Yes,,No,,1981,
0,,Yes,"- Active",,,,,No,,,,Inverness,"Golf Course",,,"Concrete Blk/Stucco",,Windmill,2013-04-09,"Hwy 41 to entrance Lakeside Golf & County Club.  Rt. on N.Vermeer Way.",Yes,Yes,,,"Other See Remarks",,Unverified,"Other See Remarks","Assigned Parking","Cool - None",,No,No,,,"Lakeside Town Homes II A Condo",No,275506102063,27550610,2010-10-24,2063,,01,2755,061,345435,0,Active,"Excl. Right to Sell",280000,Flat,,,2013-04-09T13:58:03,,,Vacant,,Yes,"- Active",,No,330794,5,2013-01-30T14:54:34,No,,"At Close",34453,,Multi-Residential,"INVESTMENT OPPORTUNITY .. Scope of Project:  Lakeside Eaglepoint Inc has started up the development of 14 additional townhomes in 2007.  The scope of the sale to a new developer is:  1. The finishing and sales of the 6-plex. This 6-plex has been blt up to the stage that the homes are air- and waterproof and the exterior of the homes is finished.  2. The finishing and sale of 2 4-plexes. These have been blt up to the stage that the slabs are poured and the infrastructure is in place (water, electricity, sewer, phone, internet and television).",E,"Other See Remarks",,"Asphalt/Fiberglass Shgl","Sewer - None,Water - Needs Well",No,"Call List Agent,Go There",,1360,FL,N,"Vermeer Way",0,"2+ Story",,"Connell Lake Estates",329.14,,19,36,18,2010,"Cash,Conventional",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,No,,No,,2010,
1.04,,Yes,"- Active",,,"115x132 each",,No,,,,"Crystal River","Laundry - In Unit",,,"Concrete Blk/Stucco",,,2013-02-16,"Hwy 19 N. to right on Citrus Ave. Left on Crystal Street to Duplex on right. No sign",Yes,Yes,,,"Oven - Range,Refrigerator","Courtyard,Entry - Ground Level,Landscape - Partial,Patio - Enclosed",Yes,"Carpet,Ceramic Tile,Vinyl","Assigned Parking","Cool - Central Electric,Heat - Central Electirc",,No,No,"Ceiling - Standard,Counters - Laminate,Eat-In Kitchen,Great Room",,"Brewers Add to Crystal River. 3 duplexs See Alt Key# 1073341,1073324,1073332",No,27552790502,27552790,2011-12-07,502,,19,2755,279,352678,0,Active,"Excl. Right to Sell",249900,Acreage,"115x132 each",,2013-05-01T20:40:37,,,Tenant,,Yes,"- Active",,No,1073341,15,2013-01-21T20:34:45,No,,"At Close",34429,,Multi-Residential,"Centrally located duplexes - 3 all together. The roof on units 1&2 was replaced in 2012. The roofs on units 3&4 and 5&6 were replaced after the ""No Name Storm"". Unit 4 has an updated kitchen, living room, hallway and bathroom. Unit 2 has a new bathroom. Several of the units have new tile and lanais, new paint, and new carpeting in bedrooms. All come with private utility rooms for washer and dryer, screened area, 1.5 bathrooms and well maintained. Good rental history. Must see!",,"No Restrictions",,"Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Appointment Only,Call List Agent",,1904,FL,NW,"Crystal St",115,Duplex,,,4506.18,,,,,2011,"Cash,Conventional",3,,,,,,,1.5,2,,575,Yes,750,1.5,2,,Yes,600,750,1.5,2,,Yes,575,750,1.5,2,,Yes,575,750,1.5,2,,Yes,575,750,1.5,2,,Yes,575,750,,,,,,,,,,,,,,,,,,,1,,2,3,4,5,6,,,,,No,,No,No,,No,,1974,
