AcresTotal,Age,AgentIDX,AgentStatus,AnnualExpenses,AssociationFee,AVMYN,BathsHalf,BathsTotal,Bedrooms,City,CommunityAmenities,CompassSuffix,County,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,EquipAndAppliances,FloodPlainYNU,Furnishings,HeatingAndCooling,HighSchool,HOACOAYN,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingStatus,ListPrice,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,NetIncome,OccupancyDesc,OfficeIDX,OfficeStatus,OwnerAgentYN,PhotoCount,PhotoModificationTimestamp,PoolAndPoolExtras,PoolPresent,PostalCode,PropertySubType,PropertyType,PublicRemarks,RearExposureCode,RentIncludes,Rooms,ShortSaleYN,ShowingInstructions,SqFtTotal,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxSectionCode,TaxTownship,TaxYear,TotalUnits,VarDualRateCommYN,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterAndSewer,Waterfront,WaterFrontage,WaterFrontPresent,YearBuilt,Zoning
0,,Yes,"- Active",,,No,0,2,2,"Crystal River","Clubhouse,Community Pool",,,,Yes,,"Ceiling Fan(s),Dishwasher,Disposal,Dryer,Microwave,Oven/Range-Elec,Refrigerator,Washer",,Furnished,"Cool-Central Electric,Heat-Central Electric",,Yes,Yes,"CASA RIO CONDO OR BK 618 PG 6 UNIT 5 BLDG B",No,27552790502,27552790,2012-08-16,502,,16,2755,279,357139,Active,2000,"Crystal River",2013-02-15T19:18:47,,,,Yes,"- Active",Yes,11,2012-08-16T16:48:30,,No,34429,,Rental,"Gorgeous ground level 2 bedroom, 2 bath fully furnished condo overlooking open water views on King's Bay. This unit has been recently updated, and has ceramic tile throughout. Features screened patio enclosure, tile counter-tops in kitchen, King sized bed in master bedroom and updated bathrooms and has private dock for use. Community has pool and clubhouse available for use, and public boat slip is nearby.",,"Cable TV,Electric,Garbage,Internet,Water","Florida Room,Living Room,Master Bedroom Suite",No,"Call Office/Agent,Call Property Manager",923,,"NW 14th St.",389,"Casa Rio Condominium",,,,,,,No,No,No,"Sewer - City,Water - City","Boat Dock,Direct Access,Gulf Access,Open Water View,Riverfront,Seawall",,Yes,1983,
0,,Yes,"- Active",,,No,0,2,2,"Crystal River","Gated Community",,,,Yes,,"Cooktop-Electric,Dishwasher,Dryer,Garage Door Opener(s),Oven-Electric,Washer",,Furnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"THE SPRINGS ON KINGS BAY CONDO BLDG WP UNIT 1 DETACHED S DESC IN OR BK 864 PG 276",No,27552790502,27552790,2012-08-16,502,,16,2755,279,357148,Active,1800,"Crystal River",2013-02-15T19:16:20,,,,Yes,"- Active",No,12,2012-08-16T17:49:35,,No,34429,,Rental,"GORGEOUS second story 2 bedroom, 2 full bath condo on the water in Crystal River! This home has it all - it's immaculate, wood and tile flooring, tastefully decorated, fireplace, screened patio, and a view that just won't quit! Lovely quiet neighborhood with private gate access to the condo. Near the heart of Crystal River, just a block from Hunter Springs Park! Call to book today, this home won't last long!",,"Cable TV,Electric,Garbage,Lawn Care,Water","Kitchen,Living Room",No,"Call Office/Agent,Vacant",1348,,"Bay Path Dr",185,"Springs on Kings Bay",,,,,,,No,No,No,"Sewer - City,Water - City","Boat Dock",,Yes,1985,
0,,Yes,"- Active",,,No,0,2,3,Homosassa,"Boat Dock",,,,Yes,,"Cooktop-Electric,Dishwasher,Dryer,Oven-Electric,Washer",,Furnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"PROPOSED VOLANTE SPGS UNIT 2 LOT 50:COM AT NW COR OF VOLONTE SPGS UNIT 1 IN PB 3 PB 102, TH S 0 DEG 20M 10S E AL W R/W LN OF JEFFERSON ST & A S'LY PRO",No,27552790502,27552790,2012-08-16,502,,19,2755,279,357159,Active,2200,"Crystal River",2012-08-16T20:27:02,,,,Yes,"- Active",No,10,2012-08-16T20:27:02,,No,34448,,Rental,"GORGEOUS 3 bedroom, 2 bath WATERFRONT home with dock in a peaceful setting.located right on the Homosassa River with dolphins and manatees in your back yard. You have direct access to the Gulf. Beautifully decorated,with large screened in patio area and more! Price includes lawn, trash, basic cable,and up to $150 of electric and $75 water/sewer. Small pets welcome. Call to reserve this amazing home today!",,"Cable TV,Electric,Garbage,Water","Kitchen,Living Room",No,"Call Office/Agent,Vacant",1788,W,"Marva Ct",9846,"Volonte Springs",,,,,,,No,No,No,"Sewer - City,Water - City","Boat Dock",,Yes,1968,
.26,,Yes,"- Active",,,No,1,0,0,Hernando,"Bike Path,Boat Ramp,Equestrian Trail",,,,Yes,,"No Appliances",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"Wilkinson & Savorys add to Hernando PB 1 PG 31 Lot 46",No,275572602101,27557260,2012-08-13,2101,,08,2755,726,357068,Active,1250,"Other Middle",2012-08-13T22:54:30,,,,Yes,"- Active",Yes,2,2012-08-13T22:54:30,,No,34442,,Rental,"LAKE HERNANDO VIEWS... Great Commercial location at the intersection of CR 41 & SR 200. High traffic counts. Great retail location. don't miss this one. back up to rails to trails.",,None,"Attic,Kitchen",No,"Call Office/Agent",1380,N,"Florida Av - CR 41",2746,"Not in Subdivision",,,,,,,No,No,No,"Sewer - City,Water - City","Lake Access,Lake View",,No,1960,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Community Pool",,,,Yes,,"Cooktop-Electric,Dishwasher,Dryer,Oven-Electric,Washer",,Furnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"FOREST GLEN CONDO DECL OF CONDO IN OR BK 597 PG 153 PHASE I UNIT 1C",No,27552790502,27552790,2012-08-16,502,,19,2755,279,357164,Active,1275,"Crystal River",2012-08-16T21:14:39,,,,Yes,"- Active",No,8,2012-08-16T21:14:39,,No,34448,,Rental,"Large 2 bedroom/2bath Duplex in Homosassa with fireplace. Price includes basic cable with wifi, $150 cap on the electric, water, sewer, trash, lawn & pool service. Close to The Homosassa State Park, tons of amenities including shopping, dining, boating, hiking, walking, biking and more!. Great deal, call to see today",,"Cable TV,Electric,Water","Kitchen,Living Room",No,"Call Office/Agent,Vacant",986,,"Homosassa Trail",8075,"Forest Glen Condo",,,,,,,No,No,No,"Well - Private",,,Yes,1981,
.5,,Yes,"- Active",,,No,0,3,0,Inverness,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"alt key 1759170",No,2755386054,27553860,2012-09-05,54,,07,2755,386,357476,Active,3000,Inverness,2012-09-05T20:13:41,,,,Yes,"- Active",Yes,1,2012-09-05T20:13:41,"Other-See Remarks",No,34450,,Rental,"3000 sq. feet located on Main Street Inverness across from Regions Bank at intersection of Hwy 44 and hwy 41--presently set up as office-12 0ffices conference room-3 baths-lobby and clerical. Walls could be removed to make retail space.",,"Other-See Remarks","Other-See Remarks",No,"Call Office/Agent",3000,W,"main street",805,"Not in Subdivision",,,,,,,No,Yes,Yes,"Sewer - City,Water - City",,,No,1940,
0,,Yes,"- Active",,,No,2,0,0,Inverness,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"alt key 2635312",No,2755386054,27553860,2012-09-05,54,,07,2755,386,357480,Active,1500,Inverness,2012-09-05T20:15:40,,,,Yes,"- Active",No,1,2012-09-05T20:15:40,,No,34452,,Rental,"1500 sq. feet of office space -could be medical-great location across street for Out Back Steak House in Inverness--has another adjoining office to increase space to 3000 sq. feet.",,Garbage,"Other-See Remarks",No,"Call Office/Agent",1500,,"highway 44 west",2214,"Fletcher Heights",,,,,,,No,Yes,Yes,"Sewer - City,Water - City",,,No,1988,
0,,Yes,"- Active",,,No,1,1,0,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"alt key 2511460 and 2511478",No,2755386054,27553860,2012-09-05,54,,23,2755,386,357482,Active,2220,"Other Middle",2012-09-05T20:20:10,,,,Yes,"- Active",No,1,2012-09-05T20:12:24,,No,34429,,Rental,"beautiful office space in area of medical offices-quest diagnostic next door",,"Other-See Remarks","Other-See Remarks",No,"Coded Lockbox",2220,W,"corporate oaks drive",6130,Meadowcrest,,,,,,,No,Yes,Yes,"Sewer - City,Water - City",,,No,1986,
0,,Yes,"- Active",,,No,0,1,1,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"PT OF SEC 32-17S-17E DESC AS: COM AT NW COR OF NW1/4 OF SW1/4 OF SEC 32",No,2755059033265,275505903,2012-10-15,3265,,12,2755,059,358214,Active,575,"Crystal River",2013-03-18T13:35:31,,,,Yes,"- Active",No,1,2012-10-15T15:47:08,"Other-See Remarks",No,34429,,Rental,"Duplex, Loft Apartment 1 bedroom and 1 bath with central heat and air with washer and dryer. New blinds and paint. Living room and dining room downstairs with tile flooring. Kitchen has passthru counter top with double sink, Upstairs has bedroom with walk in shower. Shared fenced in back yard. Quiet neighborhood on dead end st. Price includes water and sewer. Blocks from the Power Plant and Seven Rivers Hospital.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",354,,"W Gem St",10919,"Crystal River Manor",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,No,1981,
0,,Yes,"- Active",,,No,1,1,2,"Crystal River","Boat Dock",,,,Yes,,"Cooktop-Electric,Oven-Electric",,Furnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"SMUGGLERS COVE #2 CONDO UNIT EE DESC IN OR BK 738 PG 587",No,27552790502,27552790,2012-08-16,502,,16,2755,279,357143,Active,1700,"Crystal River",2012-08-16T16:29:47,,,,Yes,"- Active",No,10,2012-08-16T16:29:47,,No,34429,,Rental,"Fabulous furnished waterfront condo in the heart of Crystal River! This 2 story unit has 2 bedrooms, 1.5 baths, and a dock! Sit on the patio or the second story balcony and watch nature at play in the gorgeous canal in back. Spacious and open living area, dining area, and more! This development is just minutes away from all the action. Close to shopping, restaurants, biking, hiking, swimming, snorkeling, kayaking. The price includes basic cable, lawn, water, sewer, trash and up to $150 of electric. New listing, this won't last long!",,"Cable TV,Electric,Garbage,Lawn Care,Sewer,Water","Kitchen,Living Room",No,Vacant,1311,,"Beach LN",65,Unrecorded,,,,,,,No,No,No,"Septic - Community,Water - City","Boat Dock",,Yes,1974,
