AcresTotal,AgentIDX,AgentStatus,ApxLotSize,AssociationFee,AvailableUtilities,AVMYN,Buildings,City,CommunityAmenities,CompassSuffix,CondoFeeIncludes,County,CrossStreetName,DateChange,DateDeleted,Directions,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,Fencing,FloodPlainYNU,HighSchool,HOACOAYN,HomesteadYN,LandUseDesc,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingOfficeID,ListingStatus,ListingType,ListPrice,LotDescription,LotDimensions,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,OfficeIDX,OfficeStatus,OnSiteUtilities,OwnerAgentYN,ParcelNumber,PhotoCount,PhotoModificationTimestamp,Possession,PostalCode,PropertySubType,PropertyType,PublicRemarks,RearExposureCode,Restrictions,RoadFrontage,RoadType,SewerAndWater,ShortSaleYN,Showing,SpecialInfo,StateOrProvince,StatusChangeDate,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxID,TaxRange,TaxSectionCode,TaxTownship,TaxYear,TermsAvailable,VarDualRateCommYN,VirtualTourURL,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterFrontage,WaterFrontPresent,WaterType,Zoning
.32,Yes,"- Active","85 X 164",1660,"Cable TV,Electric-Progress Energy,Natural Gas,Propane,Public Water,Sewer,Telephone,Underground",No,None,Lecanto,"Clubhouse,Exercise Room,Golf Course,Lighted Tennis,Near Shopping,Putting Green",,,,,,,"From the Intersection of Hwy 491 and Hwy 486, go North on Hwy 491.  Left into Black Diamond.",Yes,Yes,,,Unverified,,Yes,No,"Single Family Residential",,"PINE TREE VILLAGE PB 16 PG 1 LOT 22",No,275530701160,27553070,2012-08-20,1160,,14,2755,307,357228,0,Active,"Excl. Right to Sell",95000,"Flat,On Golf Course","85 X 164",,2012-08-21T02:20:46,0,Yes,"- Active","Other See Remarks",No,2852437,9,2012-08-21T02:20:46,"At Close",6880,,"Vacant Land","Fabulous Opportunity to own a Premier Lot in the 24 Hour Guard Gated Enclave of Black Diamond Ranch ... and INCLUDED IN THE PURCHASE IS A MEMBERSHIP IN BLACK DIAMOND CLUB!!!!! This Golf Course Property is Located in the Highly Desirable Pine Tree Village, close to the Clubhouse, Pool and Driving Range and provides a lovely vista of the Ranch Course's Hole #2. Black Diamond offers 45 holes of Championship Golf designed by the World Famous Architect, Tom Fazio.",,"Vehicle,Deed Restrictions",,"Paved,Private","Sewer - Public,Water - Public",No,"Call List Agent,Go There","Brighthouse Cable,Golf Community,High Speed Internet,HOA Disclosure,Progress Energy,Restrictions,Sold As Is,Title Insurance",FL,2012-08-20,N,"Caves Valley",3202,"Black Diamond Ranch",900,,18,16,18,2011,"Cash,Conventional",No,,No,No,No,,No,,
.75,Yes,"- Active",irregular,,None,No,None,Hernando,,,,,,,,"From Inverness to 200. Right on to E. Stokes Ferry Rd. Left on River Rd. Take 2nd Right to stay on E. River Rd. Property on Left about 2 minutes.",Yes,Yes,,,Unverified,,No,No,"Single Family Residential",,"Extended alt.  see alt key",No,275508601162,27550860,2013-05-31,1162,,01,2755,086,703275,0,Active,"Excl. Right to Sell",24000,"2+ Lots,Flat,Irregular",irregular,,2013-06-03T13:31:36,,Yes,"- Active",None,No,2453826,2,2013-06-03T13:31:36,"At Close",34453,,"Vacant Land","Enjoy Nature! Close to Ocala and Hernando. Waterfront when river is up. Nice treed lot for building that beautiful home in the quite.",,,,"County,Unpaved","Sewer - Septic Private,Water - Needs Well",No,"Call List Agent,Call List Office,Go There","Livestock Allowed,Pets Allowed,Survey",FL,2013-05-31,E,"River Rd.",6021,,227.43,,,,,2012,"Cash,Owner Finance",No,,No,No,No,,Yes,"Fresh Water Canal,River Canal",
.77,Yes,"- Active","160 x 170",100,"Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone",No,None,Homosassa,,,,,"Waterway Dr",,,"W on Halls River Rd to R on Waterway Dr to R on Lynnwood.  See sign on Left",Yes,Yes,,,Yes,,Yes,No,"Single Family Residential",,"Riverhaven Replat of PT PB 11 PG 126 Lots 12 & 13 BLK 41",No,275508621282,27550862,2011-08-22,1282,,19,2755,086,350792,2,Active,"Excl. Right to Sell",34000,"2+ Lots,Flat,Non-Waterfront","160 x 170",,2012-08-21T13:09:35,0,Yes,"- Active",None,No,2898062,1,2011-08-24T20:50:53,,34448,,"Vacant Land","Double lot that may be split (CK with County) back into two lots.  Offered below market value for a quick sale.",W,,,,"Sewer - Public,Water - Public",No,"Go There,Vacant",,FL,2012-08-21,S,"Lynnwood Dr",4920,"Riverhaven Village",1355.18,,,,,2010,"Cash,Conventional",No,,No,No,No,,No,,
.37,Yes,"- Active","85 x 155",50,"Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone",No,None,Homosassa,,,,,"Myrtle Way",2012-08-21,,"W on Halls River Rd to R on Waterway to R on Myrtle Way to L on Fishermans Ln.  Sign on Right",Yes,Yes,,,Yes,,Yes,No,"Single Family Residential",,"Riverhaven Village Replat of PT PB 11 PG 126 LOT 23 BLK 46",No,275508621282,27550862,2011-08-22,1282,,19,2755,086,350785,2,Active,"Excl. Right to Sell",17000,"Flat,Non-Waterfront","85 x 155",,2012-08-21T13:07:50,0,Yes,"- Active",None,No,1978611,1,2011-08-24T20:54:38,,34448,,"Vacant Land","What a buy.............priced under the Market value for a quick Sale.",N,,80,,"Sewer - Public,Water - Public",No,"Go There,Vacant",,FL,2012-08-21,W,"Fisherman Ln",11695,"Riverhaven Village",669.26,,,,,2010,"Cash,Conventional",No,,No,No,No,,No,,
.35,Yes,"- Active","80 x 145",50,"Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone",No,None,Homosassa,,,,,"S Gator Lp",,,"W on Halls River Rd to R on Timberlane Dr, see sign on Left",Yes,Yes,,,Yes,,Yes,No,"Single Family Residential",,"Riverhaven Village Replat of PT PB 11 PG 126 LOT 9 BLK 44",No,275508621282,27550862,2011-08-22,1282,,19,2755,086,350787,2,Active,"Excl. Right to Sell",17000,"Flat,Non-Waterfront","80 x 145",,2012-08-21T13:08:34,0,Yes,"- Active",None,No,1972884,1,2011-08-24T20:53:22,,34448,,"Vacant Land","What a buy.......priced under Market value for a quick sale",SW,,,,"Sewer - Public,Water - Public",No,"Go There,Vacant",,FL,2012-08-21,W,"Timberlane Dr",11572,"Riverhaven Village",657.57,,,,,2010,"Cash,Conventional",No,,No,No,No,,No,,
.23,Yes,"- Active","100 x 102",50,"Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone",No,None,Homosassa,,,,,,,,"From US 19 (Suncoast Blvd) go west on Halls River Rd. R on Riverhaven Dr almost to the end.  See sign on the Left",Yes,Yes,,None,Yes,,Yes,No,"Single Family Residential",,"Riverhaven Village PB 9 PG 31 LOT 31 BLK 2",No,275508621282,27550862,2011-08-31,1282,,19,2755,086,350933,2,Active,"Excl. Right to Sell",185000,"Flat,Rectangle,Waterfront","100 x 102",,2012-08-25T17:21:04,0,Yes,"- Active",None,No,1012546,3,2011-09-12T18:13:09,"At Close",34448,,"Vacant Land","Fantastic view westward down river. 3rd lot from river and the 4th lot is also available.  Owner will deal if you want both lots for your waterfront dream home!Lot is cleared and the seawall is in place. Just add your dock and boat and you are ready to go catch the big one!",E,"Deed Restrictions",100,County,"Sewer - Public,Water - Public",No,"Go There,Vacant","Brighthouse Cable,Flood Plain,High Speed Internet,HOA Disclosure,Pets Allowed,Progress Energy,Restrictions,Seller Prop Disclosure",FL,2012-08-25,W,"Riverhaven Dr",11988,"Riverhaven Village",3007,,,,,2010,"Cash,Conventional",No,,,No,No,100,Yes,"Gulf Access,River Canal",
.24,Yes,"- Active","100 x 101",50,"Cable TV,Electric-Progress Energy,Public Water,Sewer,Telephone",No,None,Homosassa,,,,,,,,"From US 19 (Suncoast Blvd) go west to Riverhaven Dr, go almost to the end to sign on left",Yes,Yes,,None,Yes,,Yes,No,"Single Family Residential",,"Riverhaven Village PB 9 PG 31 Lot 32 BLK 2",No,275508621282,27550862,2011-08-31,1282,,19,2755,086,350936,2,Active,"Excl. Right to Sell",185000,"Flat,Waterfront","100 x 101",,2012-08-26T06:30:10,0,Yes,"- Active",None,No,1012554,2,2011-09-12T18:22:44,"At Close",34448,,"Vacant Land","Close to the Homosassa River (4th lot in).  Lot 3 is also available and owner will deal if you want both for your dream waterfront home.  Cleared with the seawall in place.",E,"Deed Restrictions",100,County,"Sewer - Public,Water - Public",No,"Go There,Vacant","Brighthouse Cable,Flood Plain,HOA Disclosure,Pets Allowed,Progress Energy,Restrictions,Seller Prop Disclosure",FL,2012-08-25,W,"Riverhaven Dr",11984,"Riverhaven Village",3007.05,,,,,2010,"Cash,Conventional",No,,No,No,No,,Yes,"Gulf Access,River Canal",
20,Yes,"- Active","20 acres mol",0,Well,,None,"Floral City",,,,,,2011-12-28,,"Highway 48 East to Trails End Road- turn left and follow until to the T, turn right and follow to property just before the Trails End Camp. Look for sign.",Yes,Yes,,,Unverified,,No,No,"Other See Remarks",,"meets and bounds",No,275538101297,27553810,2005-02-24,1297,,04,2755,381,121306,0,Active,"Excl. Right to Sell",179000,"Acreage,Wooded","20 acres mol",,2012-05-29T17:33:56,0,Yes,"- Active",None,Yes,2443278,9,2009-06-25T10:36:34,"At Close",34436,,"Vacant Land","Seller finance available. A rare 20 acre piece of heaven for the hunter, nature lover, or investor. 2 boat ramps located within minutes for easy access to the Withlacoochee River. The Flying Eagle Management Area is behind property and is full of wildlife. Also great for hunting, hiking, and horseback riding.",,,,"County,Paved","Sewer - None",No,"Go There","Sold As Is",FL,2012-05-29,,"Trails End",12683,,2472.11,,,,,2006,"Cash,Conventional,Owner Finance",No,,,Yes,Yes,,No,"Water Access",
.75,Yes,"- Active","240 x 140",0,None,,None,"Crystal River",,,,,,2010-06-18,,"Highway 44 to 486 intersection. Look for sign.",Yes,Yes,,,Unverified,,No,No,"Commercial,Multi-Residential",,"Alt key 2594586, 2594560, 2594551",No,275538101297,27553810,2006-01-25,1297,,16,2755,381,159585,0,Active,"Excl. Right to Sell",179000,"Flat,Other See Remarks","240 x 140",,2012-06-10T11:10:29,0,Yes,"- Active",None,Yes,2594586,2,2007-02-05T15:28:55,,34428,,"Vacant Land","Great location. 3/4 acres of vacant land on busy Highway 486 / Norvell Bryant Highway. Only a few hundred feet from the intersection of Highway 486 and Highway 44. Currently zoned MDR however it is in the commercial corridor. Check with the county on a zoning change.",,,240,County,"Sewer - None",No,"Call List Agent,Go There","Sold As Is,Title Insurance",FL,2012-06-10,,"Norvell Bryant",6598,,237.65,,,,,2006,"Cash,Conventional",No,,,Yes,Yes,,No,,
2,Yes,"- Active","220 x 400",,None,No,None,"Floral City","Bike Path,Boat Dock,Boat Ramp,Near Shopping",,,,,,,"Highway 41 to west on April Court. Property on the right.",Yes,Yes,,None,Unverified,,No,No,"Other See Remarks",,"CLEAR SPRING PK SUB LOT 10 BLK C DESCR IN O R BK 310 PG 254",No,275538101297,27553810,2013-01-19,1297,,05,2755,381,700392,0,Active,"Excl. Right to Sell",19900,"2+ Lots,Acreage","220 x 400",,2013-01-21T11:07:38,,Yes,"- Active",None,No,1867321,1,2013-01-21T11:07:38,"At Close",34436,,"Vacant Land","Looking for that special place to build your home. This is it. Located in Beautiful Floral City. 2 acres of great land ready to go. Nice trees, great area, and convenient to everything. Close to the rails to trails bike path, Withlachoochee State Forest, Floral City lake, and much more.",N,,,"County,Paved","Sewer - Septic Private,Water - Public",Yes,"Call List Agent,Go There",,FL,2013-01-19,E,April,7319,"Clear Spring Park",274,,,,,2011,"Cash,Conventional",No,,,Yes,Yes,,No,,
